P,ETP,Q
5.2,3.65,1.2
0,3.65,1.1
9.4,3.65,1.3
40,3.65,1.8
4.5,3.65,14.8
1.6,3.65,2.9
0.2,3.65,2.9
0.7,3.65,3.2
13.7,3.65,4.6
18.5,3.65,8.8
3.4,3.65,5.3
2,3.65,3.7
18.2,3.65,3.8
6.7,3.65,5.3
15.4,3.65,6.8
2.6,3.65,13.6
0,3.59,5.3
0,3.59,3.8
1.2,3.59,3.8
11.4,3.59,3.7
0,3.59,6.1
0,3.59,3.6
1.1,3.59,3.6
0,3.59,3.6
0,3.59,3.4
0,3.59,3.3
0,3.59,2.9
0.7,3.59,2.2
23.3,3.59,2.3
3.5,3.59,3.2
1.4,3.59,3.8
1.4,3.59,3.8
2.1,3.59,3.8
0.7,3.59,4.7
0,3.59,3.6
1.3,3.59,3.2
4.5,3.59,6.8
1.4,3.59,3
23,3.59,5.1
0,3.59,3.8
5.9,3.59,3.8
0,3.59,3.3
0.3,3.59,3
0.5,3.59,3.2
0,3.59,2.7
7.8,3.59,2.9
11.3,3.17,3.4
14.3,3.17,5.8
33.1,3.17,5.2
14.2,3.17,6.5
19.4,3.17,5.3
5.5,3.17,3.8
36.7,3.17,5.8
0,3.17,6.5
0,3.17,4.6
0,3.17,3.7
0,3.17,3.2
0,3.17,2.8
0,3.17,2.4
0,3.17,1.9
0,3.17,1.9
0,3.17,1.9
0,3.17,1.9
0,3.17,1.7
0,3.17,1.7
0,3.17,1.6
0.8,3.17,1.6
0,3.17,1.6
0,3.17,1.6
0,3.17,1.6
0,3.17,1.6
0,3.17,1.3
0,3.17,1.3
0,3.17,1.2
0,3.17,1.1
0,3.17,1.1
0,3.17,1.2
0,3.14,1.2
0.3,3.14,1.1
0.2,3.14,1.3
0,3.14,1.1
0,3.14,1.1
0,3.14,1.1
0,3.14,0.9
0,3.14,0.9
0,3.14,1.4
0,3.14,1.1
0,3.14,1.1
0,3.14,1
0,3.14,0.9
0,3.14,1.1
0,3.14,1.1
0,3.14,0.8
0,3.14,0.8
0,3.14,0.9
0,3.14,0.8
0,3.14,0.8
0.8,3.14,1.2
5.5,3.14,1.3
0,3.14,0.9
15,3.14,0.9
4.4,3.14,1.5
2.4,3.14,1.9
0,3.14,1.8
0,3.14,1.1
0,3.14,1.1
0,3.14,1
0,3.14,1
0,3.34,1
0,3.34,1
0,3.34,1
2,3.34,1
0,3.34,1
0,3.34,1
0,3.34,1
0,3.34,1
2.7,3.34,1
0,3.34,1
0,3.34,1
0,3.34,1
0,3.34,1
0,3.34,1
3.3,3.34,1
0,3.34,1
18.7,3.34,1
17.6,3.34,1
0,3.34,1
0,3.34,1
0,3.34,1
0,3.34,1
1,3.34,1
0,3.34,1
6.4,3.34,1
0,3.34,1
6.3,3.34,1
0.6,3.34,1
21,3.4,1.5
8,3.4,1.8
4.4,3.4,1.7
0,3.4,1.6
0,3.4,1.3
0,3.4,1.3
0,3.4,0.9
0,3.4,0.8
0,3.4,0.6
0,3.4,0.7
0,3.4,0.8
0,3.4,0.8
0,3.4,0.8
0,3.4,0.7
0,3.4,0.6
0,3.4,0.6
2,3.4,0.6
0,3.4,0.6
0,3.4,0.6
0,3.4,0.6
0,3.4,0.6
0,3.4,0.6
0,3.4,0.5
0,3.4,0.5
0,3.4,0.5
4.5,3.4,0.5
1,3.4,0.5
6.9,3.4,0.5
0.4,3.4,0.5
13.7,3.4,0.5
0.7,3.4,0.8
1,3.54,0.8
1.3,3.54,0.7
12,3.54,0.8
26.7,3.54,3.8
2.7,3.54,1.3
4.7,3.54,0.9
10,3.54,1.6
16.5,3.54,3.6
2,3.54,7.1
0,3.54,3.8
4.2,3.54,3.3
4.3,3.54,2.9
18,3.54,3
4,3.54,3
8.9,3.54,5.9
38.5,3.54,7.8
56.1,3.54,9.8
15,3.54,10
1.4,3.54,9.6
4,3.54,9.2
1.3,3.54,9.2
17.8,3.54,13.3
0,3.54,6.5
0,3.54,5.3
2,3.54,4.4
0,3.54,4.6
7.2,3.54,4.7
1,3.54,4.1
3.4,3.54,14.8
16,3.54,8.8
0,3.12,14
0,3.12,5.5
18,3.12,3.6
0.3,3.12,7.9
0,3.12,4.3
0,3.12,3.8
2.2,3.12,3.6
0.9,3.12,3.2
2.6,3.12,3
3,3.12,3.6
0,3.12,3.5
32,3.12,9.7
0,3.12,10.6
2.4,3.12,8.5
0,3.12,8
0,3.12,4.7
7.9,3.12,12.4
0,3.12,7.6
2.6,3.12,4.7
0,3.12,4.1
0.8,3.12,3.6
0,3.12,3.4
0,3.12,3.4
0,3.12,3.6
3.2,3.12,3.6
14,3.12,5
13.2,3.12,5.8
17.6,3.12,13.2
0,3.12,12.9
8.9,3.12,9.6
5.9,3.12,8.4
13.4,3.37,15
5.5,3.37,17.1
1.5,3.37,10.4
4.3,3.37,9.2
0.6,3.37,9
1.2,3.37,5.6
1,3.37,5.8
0,3.37,5.2
0.3,3.37,4.9
0.1,3.37,3.8
0,3.37,3.6
0,3.37,3.4
0,3.37,3.1
0,3.37,2.9
0,3.37,2.7
0,3.37,2.7
5.1,3.37,3
0,3.37,2.7
0,3.37,2.2
0,3.37,2.3
0,3.37,2
0,3.37,1.9
0,3.37,2.5
0,3.37,3.7
0,3.37,3.1
0,3.37,3.1
0,3.37,3.1
1.5,3.37,4.1
0.4,3.37,6.2
0,3.37,15.1
0,3.36,3.6
0,3.36,2.9
0,3.36,2.5
0.3,3.36,2
0,3.36,2.9
2.9,3.36,3
0.3,3.36,2.7
0,3.36,2.5
0,3.36,2.5
1.5,3.36,1.8
0,3.36,1.9
